MESE;COD_DITT;UNI_FUNZ;FNM_g_2017;FEM_g_2017;FTM_g_2017;ASIA;ateco;FNM_p_2016;FEM_p_2016;FTM_p_2016
8;00507962A;0;0;856;856;118152;289;11;145;156
12;00505558A;0;9;163;172;193294;143;2;154;156
8;00028935R;0;256;12;268;41798;133;144;13;157
11;00507997A;0;10;1890;1900;132967;282;124;33;157
9;00500901A;0;56;40;96;75315;274;101;56;157
8;00006633A;0;121;98;219;109610;259;98;59;157
8;00505121A;0;166;1067;1233;38223;256;39;118;157
4;00520075A;0;164;2;166;460704;232;154;4;158
8;00508682A;0;288;55;343;660156;256;154;4;158
8;00504991A;0;416369;0;416369;3503;331;152;6;158
7;00520174A;0;176530;12168;188698;20720635;89;150;8;158
11;00505167A;0;585;0;585;50038;331;134;24;158
3;00505232A;0;0;4057;4057;64801;321;79;79;158
5;00507302A;0;26;514;540;24131882;152;31;127;158
8;00027594M;0;7;67;74;64907;239;5;153;158
8;00502574A;0;115;1;116;609947;162;142;17;159
8;00505368A;0;96;774;870;108697;282;87;72;159
12;00509382A;0;214;8;222;25984960;268;153;7;160
12;00506497A;1;176;1597;1773;3087187;257;124;36;160
1;00504981A;0;287;105;392;1580;282;121;39;160
8;00074490P;0;312;92;404;25989;161;117;43;160
2;00505716A;0;141;181;322;266589;322;88;72;160
5;00505232A;0;31;2645;2676;64801;321;24;136;160
1;00507946A;0;1003;109;1112;30510677;259;157;4;161
10;00520075A;0;274;3;277;460704;232;156;5;161
12;00508789A;0;243;74;317;2948390;256;141;20;161
11;00520108A;0;114553;25611;140164;679330;91;131;30;161
3;00506229A;0;167;213;380;26336474;282;128;33;161
5;00509681A;0;160;849;1009;19047036;331;106;55;161
8;00505686A;0;254;125;379;255594;310;98;63;161
1;00520162A;0;67;14;81;19617730;182;159;3;162
7;00500245A;0;11;0;11;33146;322;130;32;162
1;00003275I;0;56;81;137;671259;284;95;67;162
7;00006308O;0;1653;241;1894;3370729;284;82;80;162
3;00509383A;0;40;279;319;25986776;267;55;107;162
1;00509637A;0;185;1;186;364891;251;162;1;163
3;00520174A;0;65875;7819;73694;20720635;89;155;8;163
5;00520174A;0;128786;6074;134860;20720635;89;154;9;163
8;00010516U;0;646;55;701;82485;152;137;26;163
12;00508205A;0;82;103;185;261898;237;118;45;163
8;00009070X;0;224;106;330;363378;131;111;52;163
9;00012535L;0;149;10;159;1144243;81;109;54;163
1;00509681A;0;130;2;132;19047036;331;86;77;163
9;00520108A;0;136;7;143;679330;91;156;8;164
